"357",24907,"[SD]Niku Atsu Hotate Unagi KM"
"358",24907,"Tofu Parfait"
"359",24907,"Agedashi Tofu"
"360",24908,"[SD]Tokusen Tendon & Sashimi"
"361",24908,"[DS]Premium Kaisen Nabe"
"362",24908,"Aus Wagyu Kalbi Yaki"
"363",24908,"Tontoro Aspara Shio Koji Yaki"
"364",24908,"Dessert Trio"
"365",24908,"HK Shiso Ume 80ml"
"366",24908,"Matcha Tiramisu"
"367",24909,"[SD]Aburi Bara Chirashi Set"
"368",24909,"Salmon Avocado Salad"
"369",24909,"House Red - 250ml"
"370",24910,"Hotate Salmon Unagi Chirashi"
"371",24910,"Unagi Yakiniku KM"
"372",24911,"Premium Seafood KM"
"373",24911,"Gindara Saikyo Yaki"
"374",24911,"Ebi Tempura"
"375",24911,"Tempura Soba"
"376",24912,"Tori & Unagi KM"
"377",24912,"Temari Sushi"
"378",24913,"[SD]Aburi Kaisen Chirashi KM"
"379",24913,"[SD]Seafood Mix KM"
"380",24914,"[SD]Unagi & Salmon Chirashi"
"381",24914,"Canadian Tonkatsu"
"382",24914,"Agedashi Tofu"
"383",24914,"Original Ume Soda"
"384",24915,"[SD]Yakiniku KM"
"385",24915,"Ebi Tempura"
"386",24915,"Soft Shell Crab Tempura"
"387",24915,"Pork Shogayaki"
"388",24915,"Cha Soba"
"389",24915,"Gyu Tan Kosho Yaki"
"390",24915,"[4pc]Sp Aburi Salmon Roll"
"391",24915,"Rokugin Lychee Liqueur"
"392",24915,"Sunrise Mojito"
"393",24915,"Mozza Koromo Age"
"394",24915,"Hokkaido Brown Sugar Milk"
"395",24915,"Toro Salmon Sushi"
"396",24916,"[SD]Aus Wagyu Don & Una Yana"
"397",24916,"Salmon & Tori KM"
"398",24916,"Chicken Karaage Karikari Gobo"
"399",24916,"Gin x Mint"
"400",24916,"2 Fruit Juice Jug"
"401",24917,"Unagi Salmon Chirashi"
"402",24918,"Mixed Roll Sushi"
"403",24918,"Una Don"
"404",24919,"Unagi Yakiniku KM"
"405",24919,"Soft Shell Crab Tempura"
"406",24920,"[2p]Sashimi 7K"
"407",24920,"[2p]Salmon Sashimi 3K"
"408",24920,"Tempura Mori"
"409",24920,"Foie Gras Millefeuille"
"410",24920,"Saba Shioyaki"
"411",24920,"Ikura Chawanmushi"
"412",24920,"Chawanmushi"
"413",24920,"Premium Malts 380ml"
"414",24920,"Chicken Karaage Karikari Gobo"
"415",24920,"Yuzu Ginger Tea"
"416",24920,"Yuzu Ginger Tea"
"417",24920,"Pepsi"
